mes;ipc;anio
Enero;1,17;2003
Febrero;1,11;2003
Marzo;1,05;2003
Abril;1,15;2003
Mayo;0,49;2003
Junio;-0,05;2003
Julio;-0,14;2003
Agosto;0,31;2003
Septiembre;0,22;2003
Octubre;0,06;2003
Noviembre;0,35;2003
Diciembre;0,61;2003
Enero;0,89;2004
Febrero;1,2;2004
Marzo;0,98;2004
Abril;0,46;2004
Mayo;0,38;2004
Junio;0,6;2004
Julio;-0,03;2004
Agosto;0,03;2004
Septiembre;0,3;2004
Octubre;-0,01;2004
Noviembre;0,28;2004
Diciembre;0,3;2004
Enero;0,82;2005
Febrero;1,02;2005
Marzo;0,77;2005
Abril;0,44;2005
Mayo;0,41;2005
Junio;0,4;2005
Julio;0,05;2005
Agosto;0;2005
Septiembre;0,43;2005
Octubre;0,23;2005
Noviembre;0,11;2005
Diciembre;0,07;2005
Enero;0,54;2006
Febrero;0,66;2006
Marzo;0,7;2006
Abril;0,45;2006
Mayo;0,33;2006
Junio;0,3;2006
Julio;0,41;2006
Agosto;0,39;2006
Septiembre;0,29;2006
Octubre;-0,14;2006
Noviembre;0,24;2006
Diciembre;0,23;2006
Enero;0,77;2007
Febrero;1,17;2007
Marzo;1,21;2007
Abril;0,9;2007
Mayo;0,3;2007
Junio;0,12;2007
Julio;0,17;2007
Agosto;-0,13;2007
Septiembre;0,08;2007
Octubre;0,01;2007
Noviembre;0,47;2007
Diciembre;0,49;2007
Enero;1,06;2008
Febrero;1,51;2008
Marzo;0,81;2008
Abril;0,71;2008
Mayo;0,93;2008
Junio;0,86;2008
Julio;0,48;2008
Agosto;0,19;2008
Septiembre;-0,19;2008
Octubre;0,35;2008
Noviembre;0,28;2008
Diciembre;0,44;2008
Enero;0,59;2009
Febrero;0,84;2009
Marzo;0,5;2009
Abril;0,32;2009
Mayo;0,01;2009
Junio;-0,06;2009
Julio;-0,04;2009
Agosto;0,04;2009
Septiembre;-0,11;2009
Octubre;-0,13;2009
Noviembre;-0,07;2009
Diciembre;0,08;2009
Enero;0,69;2010
Febrero;0,83;2010
Marzo;0,25;2010
Abril;0,46;2010
Mayo;0,1;2010
Junio;0,11;2010
Julio;-0,04;2010
Agosto;0,11;2010
Septiembre;-0,14;2010
Octubre;-0,09;2010
Noviembre;0,19;2010
Diciembre;0,65;2010
Enero;0,91;2011
Febrero;0,6;2011
Marzo;0,27;2011
Abril;0,12;2011
Mayo;0,28;2011
Junio;0,32;2011
Julio;0,14;2011
Agosto;-0,03;2011
Septiembre;0,31;2011
Octubre;0,19;2011
Noviembre;0,14;2011
Diciembre;0,42;2011
Enero;0,73;2012
Febrero;0,61;2012
Marzo;0,12;2012
Abril;0,14;2012
Mayo;0,3;2012
Junio;0,08;2012
Julio;-0,02;2012
Agosto;0,04;2012
Septiembre;0,29;2012
Octubre;0,16;2012
Noviembre;-0,14;2012
Diciembre;0,09;2012
Enero;0,3;2013
Febrero;0,44;2013
Marzo;0,21;2013
Abril;0,25;2013
Mayo;0,28;2013
Junio;0,23;2013
Julio;0,04;2013
Agosto;0,08;2013
Septiembre;0,29;2013
Octubre;-0,26;2013
Noviembre;-0,22;2013
Diciembre;0,26;2013
Enero;0,49;2014
Febrero;0,63;2014
Marzo;0,39;2014
Abril;0,46;2014
Mayo;0,48;2014
Junio;0,09;2014
Julio;0,15;2014
Agosto;0,2;2014
Septiembre;0,14;2014
Octubre;0,16;2014
Noviembre;0,13;2014
Diciembre;0,27;2014
Enero;0,64;2015
Febrero;1,15;2015
Marzo;0,59;2015
Abril;0,54;2015
Mayo;0,26;2015
Junio;0,1;2015
Julio;0,19;2015
Agosto;0,48;2015
Septiembre;0,72;2015
Octubre;0,68;2015
Noviembre;0,6;2015
Diciembre;0,62;2015
Enero;1,29;2016
Febrero;1,28;2016
Marzo;0,94;2016
Abril;0,5;2016
Mayo;0,51;2016
Junio;0,48;2016
Julio;0,52;2016
Agosto;-0,32;2016
Septiembre;-0,05;2016
Octubre;-0,06;2016
Noviembre;0,11;2016
Diciembre;0,42;2016
Enero;1,02;2017
Febrero;1,01;2017
Marzo;0,47;2017
Abril;0,47;2017
Mayo;0,23;2017
Junio;0,11;2017
Julio;-0,05;2017
Agosto;0,14;2017
Septiembre;0,04;2017
Octubre;0,02;2017
Noviembre;0,18;2017
Diciembre;0,38;2017
Enero;0,63;2018
Febrero;0,71;2018
Marzo;0,24;2018
Abril;0,46;2018
Mayo;0,25;2018
Junio;0,15;2018
Julio;-0,13;2018
Agosto;0,12;2018
Septiembre;0,16;2018
Octubre;0,12;2018
Noviembre;0,12;2018
Diciembre;0,3;2018
Enero;0,6;2019
Febrero;0,57;2019
Marzo;0,43;2019
Abril;0,5;2019
Mayo;0,31;2019
Junio;0,27;2019
Julio;0,22;2019
Agosto;0,09;2019
Septiembre;0,23;2019
Octubre;0,16;2019
Noviembre;0,1;2019
Diciembre;0,26;2019
Enero;2020;2019
Febrero;0,42;2019
Marzo;0,67;2019
Abril;0,57;2019
Mayo;0,16;2019
Junio;-0,32;2019
Julio;-0,38;2019
Agosto;0;2019
Septiembre;-0,01;2019
Octubre;0,32;2019
Noviembre;-0,06;2019
Diciembre;-0,15;2019
Enero;0,38;2019
Febrero;0,41;2021
Marzo;0,64;2021
Abril;0,51;2021
Mayo;0,59;2021
Junio;1;2021
Julio;-0,05;2021
Agosto;0,32;2021
Septiembre;0,45;2021
Octubre;0,38;2021
Noviembre;0,01;2021
Diciembre;0,5;2021
Enero;0,73;2021
Febrero;1,67;2022
Marzo;1,63;2022
Abril;1;2022
Mayo;1,25;2022
Junio;0,84;2022
